Date,Type,Price,Shares,Profit_per_share,Total_Profit
2024-02-27,Buy,1168.8,85,,
2024-04-02,Sell,1116.95,85,-51.84999999999991,-4407.249999999993
2024-05-03,Buy,1080.5,92,,
2024-05-13,Sell,1083.0,92,2.5,230.0
2024-06-10,Buy,1117.5,89,,
2024-07-15,Sell,1134.8,89,17.299999999999955,1539.699999999996
2024-07-19,Buy,1173.15,85,,
2024-08-27,Sell,1209.3,85,36.149999999999864,3072.749999999988
2024-09-10,Buy,1202.45,83,,
2024-10-03,Sell,1152.05,83,-50.40000000000009,-4183.200000000008
2025-01-16,Buy,938.4,106,,
2025-03-06,Sell,957.95,106,19.550000000000068,2072.3000000000075
2025-04-07,Buy,1047.85,95,,
2025-05-29,Sell,1109.8,95,61.950000000000045,5885.250000000005
2025-07-16,Buy,1080.9,92,,
