Stock,Total Trades,Total Profit,Win Rate (%)
HDFCLIFE,5,43609.20000000001,90.5501004240125
BHARTIARTL,4,42877.94999999999,92.10138986395924
BEL,6,36193.54999999998,80.6602099327981
SHRIRAMFIN,6,34957.19999999998,88.81045745828872
INFY,6,23087.900000000005,73.6190934108091
TECHM,4,22930.449999999993,88.58208164164965
ETERNAL,5,22119.549999999974,68.89996061004022
ADANIPORTS,6,20469.799999999974,75.34583096010495
BAJAJFINSV,8,20041.300000000007,70.17542623360099
HCLTECH,3,19286.799999999996,74.8860651041801
SUNPHARMA,4,18487.39999999999,76.52881414303752
BAJFINANCE,5,16111.950000000028,69.88189535071693
AXISBANK,6,15639.70000000001,75.27530245291494
HINDUNILVR,7,14530.400000000016,84.76105720464678
TRENT,4,14345.1,66.80356193202715
HINDALCO,8,12647.25000000003,60.14962109204781
SBILIFE,4,12596.900000000005,72.06800018219342
EICHERMOT,9,9342.999999999982,63.51527285141443
NTPC,5,8813.200000000012,70.63749274086287
ULTRACEMCO,6,7731.200000000012,61.52149550537687
ONGC,9,7315.750000000012,57.10879174590159
ITC,4,6659.80000000001,65.48085058903385
DRREDDY,6,5234.949999999977,57.0314693157717
SBIN,6,5069.449999999973,58.64307720111226
HDFCBANK,5,4851.099999999989,69.01676231693162
TATACONSUM,7,4209.549999999996,59.83978831674882
CIPLA,10,3458.8000000000056,56.798009418313036
HEROMOTOCO,6,3445.25000000002,53.88148637184534
TITAN,8,1548.6499999999896,53.36482367076806
ICICIBANK,6,446.1499999999605,51.11379063282471
KOTAKBANK,5,146.0499999999829,50.30224891403545
POWERGRID,5,-288.7000000000072,49.617599686344306
APOLLOHOSP,7,-588.9999999999818,49.386780273689666
NESTLEIND,7,-1462.7999999999856,46.439801789347676
RELIANCE,7,-2128.9499999999834,44.887137330057605
JSWSTEEL,9,-2899.700000000007,46.06088598481246
WIPRO,5,-3180.099999999986,43.55610671400148
ASIANPAINT,6,-5720.749999999993,31.40881275734211
TATAMOTORS,6,-6075.049999999977,41.90301018946136
MARUTI,6,-7015.400000000016,33.12421218740075
COALINDIA,7,-7028.6000000000195,34.33451906532221
TATASTEEL,5,-8541.649999999983,30.12381818901066
TCS,7,-8973.500000000015,31.383552549686705
GRASIM,7,-9369.150000000007,22.304956886995704
ADANIENT,7,-13665.050000000008,27.04120806654578
LT,12,-14003.499999999989,26.260184378358776
JIOFIN,4,-14647.949999999993,5.975011947018373
INDUSINDBK,7,-40328.950000000004,12.66615751348098
